id,text,humor_target
tweet9273,"—Abuelo, ¿me puedes ayudar con mi tarea de inglés?
—Claro.
—¿Qué es Car?
—El hermano de Mufasa.
—Gracias abuelo, puedo yo solo.
—Of nothing.",age
tweet23225,¿Por qué el hombre quiere tanto a su auto? Porque es lo único que puede manejar. #ChisteFeminista,men
tweet5581,"Cuando una mujer es atenta, cariñosa y amorosa contigo, indudablemente está esperando el momento adecuado para hacerte daño. Tengan cuidado.",women
tweet22636,"Definitivamente todos los hombres son iguales. —Catalina, 12 años y, al parecer, acaba de viajar a China.",age; ethnicity/origin
tweet21309,"—¡ESA VIEJA TRAE EL MISMO VESTIDO QUE YO!
—Amor, es tu reflejo...
—¡CHINGADA MADRE! ¡NUNCA TE PONES DE MI PARTE, TE ODIO!",women
tweet22866,"—Doctor, últimamente me veo feo y gordo. ¿Qué tengo? —Razón y obesidad.",body shaming
tweet4132,¿Cuál es la única persona que come con los dientes de otros? El dentista. #fb,professions
tweet23158,"-¿Sabías que Jennifer Lopez padece una enfermedad renal? -¿De veras? -Sí, porque está renal-gona :)",body shaming
tweet10505,Ella esta mas apreta que la situacion economica del pais!!,social status
tweet11502,"¿Abuelo me veo gorda? —No, tienes el cuerpo de una chica porno. —¿Verdad?, que lindo abuelito —Sí, Pornoparardecomer ¡GORDA! JAJAJÁ  —Ay:'(",body shaming
tweet5374,"- Señor, ¿usted es bizco? - No, lo que pasa es que tengo un ojo tan bonito, que el otro se le queda mirando...",health
tweet17322,El otro día pasé por una escuela y vi que los de la mañana y los de la tarde estaban conviviendo sin pedos. Se están perdiendo valores.,age
tweet8863,"—¿Cómo te fué en el examen hija? —Bien, aprobé. —¡Qué bueno!, ¿qué sacaste? —Las tetas",women
tweet7564,¿Cuál es el vino más peligroso? - no me vino    #CHISTES,women
tweet1434,¿Alcohólico yo? ¡Para nada! Cada año solo bebo en 2 ocasiones: cuando es mi cumpleaños y cuando no lo es.,substance use
tweet5143,La locura es hereditaria; se hereda de los hijos #frases,age
tweet13764,"“Mujeres” sin la “J” es MUERES. 

¿Coincidencia? No lo creo.
¿Estoy loco? Tal vez.
¿Mi elote? Con chilito del que no pica.",women
tweet19900,"Feliz cumpleaños @MCeciliaBazan 
Hoy es un buen día para ir a una heladería y que te den todos los gustos..",professions
tweet13144,"Si Trump hace el muro podemos construir casas pegadas al muro y ya sólo ponemos 3 paredes porque el tonto ya nos regaló una

Mex: 1 Trump: 0",ethnicity/origin
tweet15889,"Lo más importante para tu Mamá: 

—Tú: 10% 

—Familia: 5% 

—Amigas: 3% 

—Telenovelas: 2% 

—Que te pongas suéter 80%",family/relationships
tweet13068,"#chistes - ¿Qué le dice un jardinero a otro?
- Disfrutemos mientras podamos",professions
tweet15001,Entra uno a un burdel y dice: -¿Cuanto vale la puta pelo largo? -5OO -¿Y la pelo corto? -250 -Mierda! ¿No tienes una calva?,social status
tweet20173,"Mamá, el hombre de al lado se está masturbando.
-Ignóralo, hijita.
-Lo haría, pero esta usando mi mano.",sexual aggressors
tweet17450,"#Chiste El marido le pregunta a su mujer:
- ¿Querida, cuando me muera vas a llorar mucho?
- Claro, sabes que lloro por cualquier tontería",family/relationships
tweet10666,"Como buen argentino, nunca renuncio a las cosas, directamente ni intento hacerlas.",ethnicity/origin
tweet8257,En la Biblia dice que los hombres podían tener hasta 3 esposas. Ahora no puedes tener ni amigas porque ya te quieren matar.,religion; women
tweet6107,"Patrullero a conductor borracho: -Permiso para conducir... -Echate para allá mi amor, que este pendejo quiere manejar! by @anestart",substance use
tweet20477,Entra un tipo loco de remate y... ¡Goooolll!,professions
tweet12024,"El ""amor a primera vista"" es amor puro, porque la viste, no la escuchaste hablar ni  le diste tiempo de que te rompa los huevos.",women
tweet19569,Mi cuerpo tiene más flojera que sangre.,self-deprecating
tweet21370,"Es bueno dejar la bebida, lo malo es no acordarse donde. #MaximasFilosoficas #fb",substance use
tweet17482,A mi cara de blda sumale que me hicieron tratamiento de conducto y me duro la anestecia toda la tarde!,self-deprecating
tweet8717,"-Amorcito, ¿qué tanto me quieres?
-¿Ves esas nubes grandotas en el cielo?
-¡Sí!
-Pues córrele, porque parece que va a llover...",family/relationships
tweet8692,"—Abuelo, ve a acostar al bebe y duermelo. 

—Duérmete mi niño, Duérmete ya, por que o si no vendrá el ¡¡PUTO COCO!! ¡Y¡ ¡¡TE VIOLARA!! JAJÁ.",age
tweet19200,"Discutir con una mujer es como ser atacado por un oso, lo mejor es hacerse el muerto con la esperanza de que se aburra y se vaya!",women
tweet13838,"Como decía mi abuelo, buscate una flaca y limpia porque gorda y sucia se vuelven solas.",women
tweet21364,Con mis mejores amigos no nos saludamos porque nos chupa un huevo ellos saben que los amo y yo se que me aman *se habían juntado sin el*,self-deprecating
tweet23968,"La ex novia de Jaimito se quería lanzar desde un edificio, él le dice: ""ten cuidado porque las gatas son las que caen paradas no las perras",women
tweet23516,"—¿Papá? ¿Soy adoptado?—Ay hijo, ¿Crees que sí fueras adoptado habríamos escogido al niño más feo?",body shaming
tweet12197,"—¡Abuelo! Todos me dicen gorda.
—No hagas caso, ¿Tienes tarea?
—Sí.
—Pues no dejes para Marrana lo que puedes hacer oink.
—¡ABUELOO!
—JAJAJÁ",body shaming
tweet6444,"¿En que se parecen un perro y un ginecólogo miope?
 En que los dos tienen la nariz húmeda.",professions
tweet17690,"Mi amor, te juro por lo que mas quiero que tu eres lo más importante en mi vi...... GOOOOOOLLLL HP! GOLAZOOOO #XD",men
tweet23244,¿Sabían que durante el parto el dolor es tan fuerte que una mujer puede llegar a imaginar cómo se siente un hombre cuando lo dejan en visto?,women
tweet5442,"—Gordo, nuestro hijo está en su cuarto escuchando a Romeo Santos.
—¿Le habrán roto el corazón?
—Yo creo que le rompieron el culo.",lgbt
tweet19049,"Que pedo con mi Uber, ya se subieron como 30 personas y sigue gritando que se recorran para atrás.",social status
tweet1229,"“O adivinas porqué estoy enojada o me enojo más”

-Lógica femenina.",women
tweet18159,"Si el cachetero no se convierte en tanga, fracasaste como nalgona.",women
tweet1761,"un borracho en un río gritando:""ballena""-pero señor, una ballena en un rio? -no, se me cayeron dos botellas y una va llena!",substance use
tweet3525,#FrasesDePobres Mejor saquemosle fotocopia.,social status
tweet6442,¿Qué diferencia hay entre un perrito y un politico atropellado? Detrás del perrito hay huellas de frenado... by @Yannis1515 #fb,professions
tweet20605,Yo creo que no me contesta el Whatsapp desde hace 6 días porque tiene Blackberry y se está reiniciando.,technology
tweet20853,"_ Mamá mamá, en la escuela me dicen huérfano
 -",family/relationships
tweet21789,"—Anoche tu novia me guiñó el ojo. 
—Ah, lo que pasa es que tiene un tic nervioso. 
—Ah, perdón, pensé que me tiraba el pedo y me la cogí.",men
tweet20269,Las mujeres son como los chinos: nadie las entiende y están dominando el mundo.,ethnicity/origin; women
tweet16339,"Hombres: Ustedes qué saben de deportes extremos, si nunca han corrido en tacones.",men
tweet21962,"Llega pepito:Termine con mi novia pero yo se que ella volvera a mi arrastrandose
Y por que estas seguro? 
Porque me traje su silla de ruedas",body shaming
tweet20089,-Sos re puta. -¿Qué? -¿Te lo repito? -¿Un re pito? ¿Dónde? ¿Dónde? *Babea*,women
tweet6073,"- ¿Me da una entrada para el teatro?
- ¿Para Los Miserables?
-Mire, somos pobres pero respétenos.",social status
tweet12744,"—En mis tiempos...

—Sí abuela, en sus tiempos todos eran súper santos y por eso tengo 20 tíos.",age
tweet4647,"Mi madre por Whatsapp: Escribiendo... Escribiendo... Escribiendo... Escribiendo... Escribiendo... Escribiendo... ""Ok"".",age
tweet19237,"- ¿Desde cuándo eres alcoholico? - Desde que me dejó mi mujer. - ¿Bebes por tristeza? - Jajajaja No, no seas pendeja, aún sigo celebrándolo.",substance use
tweet11605,"""AY, ¿solamente mi WhatsApp cayó?""

-Sí, solo el tuyo. Los ingenieros de WhatsApp se reunieron única y exclusivamente por tu WA. Pelotuda.",technology
tweet12914,"-Por que los Huracanes tienen nombre de mujeres?? -Porque cuando se van.. Se llevan tu casa, tu auto, tus muebles.. Etc. Jajaja",women
tweet18876,"—Pásame el pantalón negro. 
—Pídemelo con educación. 
—Por favor afroamericano, pásame el pantalón.",ethnicity/origin
tweet22278,"Papás 2010: Ten cuidado no andes creyendo todo lo que sale en internet.

Papás 2018: Whatsapp dejará de ser gratis envía esto a 10 personas.",age
tweet22642,#CHISTE UN CURA LE PREGUNTA A UN NIÑO QIERES SER CRISTIANO....Y EL NIÑO LE CONTESTA NO...PREFIERO SER MESSI #CHISTES RT.,religion
tweet6512,Acabo de romper un  espejo. Supongo que eso significa que Hugo Chavez gobierna por 7 años mas... by @hadacon #fb,professions
tweet6556,"El GALLEGO PUSO LA COMPU AL SOL PARA TENER HOT-MAIL 
#CHISTES",ethnicity/origin
tweet14891,"Hola guapa, quiero hacerte dos preguntas:

¿Quieres salir conmigo? Y, ¿Por qué no?",self-deprecating
tweet7934,"Lo bueno de ser pobre es que es gratis. Y las mejores cosas de la vida son gratis. Ok, no.",social status
tweet5909,"La mujer cambia por dos razones:

1- No las.
2- Sé.",women
tweet13332,"¿Cuál es el colmo de un electricista?
Que su esposa se llame Luz y sus hijos le sigan la corriente.",professions
tweet15765,"¿Por qué quiere divorciarse de su esposo? Porque me trata como a un perro. ¿La maltrata, le pega?No. Quiere que le sea fiel.",women
tweet10027,"El pesimista ve el vaso ""medio vacío""
El publicista ve en el vaso ,un ""medio"" vacío
y En la casa de @rrouvier a la parrilla un medio ""vacío""",professions
tweet14638,"mama te tengo una buena y una mala noticiaa
-a ver cual es la mala?
-en el colegio me dicen gay
-y la buena?
-sali reina de belleza #xD",lgbt
tweet10239,"Mujeres, se ven bien pendejas haciendo uso de Tinder para «buscar amigos». Es como si yo entrara a Youporn para ver si se comen la pizza.",women
tweet4274,Si la mujer fuera buena Dios tendria una... y si fuera de confianza el diablo no tendría cuernos... #fb,women
tweet8339,"fui a la farmacia que voy siempre a pesarme y quitaron la balanza, definan mala suerte",body shaming
tweet23569,"Caballeros, acaba de llamar Mr. Smith. Tuvo una cita inesperada con una señorita. Si puede, vendrá en 2 hrs, si no puede, en 15 minutos",men
tweet16197,"El teclado debería tener una tecla de:  ""Mi mamá esta detrás de mi, por eso no te respondo"". xD",family/relationships
tweet17546,"Tener novia es como tener una mascota.

No tengo mascota",self-deprecating
tweet22063,"vio natalia paris pasa un parajo azulejo
y dijo... que chevere!!! vi un twitter #chistes RT",technology
tweet23140,"Cuando una mujer te pide que la dejes ver el celular, preparate para responder más preguntas que Google.",family/relationships
tweet20356,Hoy me enojé con mi abuela así que fui a la cocina y le cerré bien fuerte todos los frascos.,family/relationships
tweet3390,"Si tienes problemas para dejar el alcohol, o conoces de alguien que quiere dejarlo, sepan que pueden dejarlo en mi casa",self-deprecating; substance use
tweet22117,"Cuando la mujer quita la foto se perfil de Whatsapp significa que está emputadísima, no les escriban amigos. 

Información que salva vidas.",women
tweet15372,"🕖19:00

-Amor, ¿qué es más importante para vos, el fútbol o yo?

🕘21:00 hs

-Por supuesto que vos mi amor.",men
tweet2615,Cómo puedes saber si un político esta mintiendo? Sus labios se mueven. #CHISTES,professions
tweet3391,"Sé voltear tortillas 

MENTIRAS DE MUJERES",women
tweet19089,"Un dia señale al espejo y dije ""Tu te graduaras"", 4 años despues el espejo se graduo de la universidad. #chiste",self-deprecating
tweet3246,"Una gallega dijo : tomé la pastilla del día después, para que fuera lunes pero todavía es domingo. ..",ethnicity/origin
tweet18602,PROSTITUTA: Mujer que al desvestirse queda en ropa de trabajo.,professions
tweet15485,"Antes necesitaba 3 tequilas, 2 cubas y 2 cervezas para marearme, ahora lo logro con solo pararme rápido de la cama. 😢",age; self-deprecating
tweet1249,"—¡Mesero! 

—Dígame, joven. 

—Hay una mosca muerta en mi mesa. 

—Es su novia. 

—Ya sé, sólo quería recordárselo.",body shaming
tweet3468,"El marido agonizante
-María, promete que cuando me muera te casaras con Antonio.
-Pero si es tu peor enemigo -Pues por eso! que se joda #xD",family/relationships
tweet8731,"Mi sueño mas grande, es trabajar en una productora de películas porno, pa' comerme toda la pizza que los actores dejan.",professions
tweet18172,"Le hablo de usted o te puedo tuittear ??
#chistes #frases",technology
tweet17035,"—Caballero, permíteme su licencia, por favor. 

—Señor policía, permítame su certificado de secundaria, por favor. 

—JAJAJAJAAY :(",professions
tweet2642,Chávez a Jaimito: -¿Tu te cagarías en mi tumba cuando muera? -Jamás mi presidente! Me emputa hacer fila! #fb,professions
tweet19498,"JURADO:
Es un grupo elegido para decidir quién tiene el mejor abogado.

#Chistes #Humor #Anecdotas #Abogados #Jur...",professions
tweet19504,"Hombres que solo andan con mujeres por como mueven la cola, mejor adopten un pinche perro, los van a querer mas y les sale más barato.",women
tweet21398,"Una suegra se murió, y en su tumba le pusieron este mensaje: ""Aquí descansa ella, y en la casa descansamos todos"".",family/relationships
tweet2910,"- Papa anoche tuve mi primera experiencia sexual
- Ese es mi hijo, siéntese para que me platique 
- Es que no me puedo sentar",lgbt
tweet9165,"—Que niño tan feo.
—Es mi hija...
—Ah, no sabia que eras padre.
—Soy madre.
—Ah, si... te vi embarazada.
—Es adoptada.
—Mejor me voy.",body shaming
tweet1836,"-¡No entres ahí, imbécil! ¡No entres a esa iglesia! ¡NOOO! -¿Qué película estás viendo, cariño? -El vídeo de nuestra boda.",family/relationships
tweet11853,"—¡Mamá! ¿Qué es esto?
—Tu comida
—¡Pero estas son croquetas en salsa verde!
—¿No qué te gusta mucho usar el filtro de perro de Snapchat?",age
tweet14136,"— Abuelo, deja de echarme queso fundido por la cara! 

—¡CÁLLATE NACHO!",age
tweet20279,-¿Por qué atropelló a esa anciana? ¿Por qué no tocó la bocina? -Es que no quise asustarla!,age
tweet8288,"¿Por qué los hombres son inútiles? 
Porque tienen...
tetas y no dan leche, 
pajarito y no cantan, 
pelotas y no ruedan",men
tweet19582,"-¿Y cómo te va en el amor?
-Voy mejor en la escuela.
-Pero si vas mal en tres materias.
-Pues imagínate.",self-deprecating
tweet6970,"-La señora dice: Mi amor, mi amor ¿cierto que tengo un cuerpo de palmera? Y el esposo le dice: Si, ¡pero una cara de coco…!",women
tweet5213,"Ya voy a dejar de fumar, porque dicen que afecta a ""la larga"", y yo no quiero que me pase nada en ése órgano tan importante de mi cuerpo.",men
tweet16096,"—Amor, cuando termine de arreglarme llego a tu casa.

—Ok, mientras leo la Biblia.",women
tweet23143,"Qué le dijo Bob Marley al jardinero?
- Reggue  !!",professions
tweet12402,En el horóscopo rata soy chino,self-deprecating
tweet20882,"—Mi amor, ¿Qué opinas de las madres solteras? —Que son unas luchadoras. —Pues bienvenida a la lucha, me vine adentro.",women
tweet18711,"Le dice la suegra a la Nuera
-Mija, Ese Niño No se Parece A Mi Hijo 
-Mire Señora Yo Tengo Una Cuca No Una FotoCopiiadora Viieja Hp #RT",family/relationships
tweet4040,Nosotras apoyamos la liberación femenina. (Cárcel de Mujeres) #fb,women
tweet19051,"Creo que tengo Gripe Porcina... porque estoy engripado, y hecho un cerdo.",self-deprecating
tweet16578,"—Mamá, ¿estoy peluda? —A LA MIERDA, ¡UN MONO QUE HABLA! —¡MAMÁAAA! —Aw, me dice ''mamá'', me lo quedo.",body shaming
tweet20346,"Lo único que quieren las mujeres es todo y nada, en diferentes momentos pero al mismo tiempo, a veces y nunca, pero siempre. #chistes",women
tweet12893,"Kodak se declaró en quiebra.
que flash  #chistesmalos",technology
tweet18848,"Che, hablando de putas, ¿vos bien?",women
tweet16784,¿De cuantas jovencitas se alimenta Lupita Jones para poder seguir con vida? #NuestraBellezaMX,body shaming
tweet5591,"Sí pones el GPS en voz femenina y no le obedeces, empieza a reclamarte, a gritarte y si no haces caso, te amenaza con bajarse a media calle.",women
tweet11272,"-¿Sa-sabes do-donde que-queda la es-escuela de tar-tar-tarmudos? -¡Pero tu no necesitas escuela, lo haces muy bien!",health
tweet8976,"Amor, Si estas durmiendo mándame tus sueños.
Si estas riendo mándame tu sonrisa.
TE AMO!!!
-Mi amor;
Me agarraste cagando..¿ Qué hago ? #RT",family/relationships
tweet12283,"Niñas de 12 años que ponen estados de Facebook estilo: ""En mi cama sólo faltas tú"". ¿A quién se refieren?, ¿a las barbies o a Barney?.",age
tweet15149,No me preocupo por el terrorismo; he estado casado por 2 años... by @ispano77 #chistes #fb,women
tweet16190,Ando muy ocupado fingiendo ser una persona normal.,self-deprecating
tweet265,"como ladra un perro argentino?????
Este...Guau    #chistes #humor",ethnicity/origin
tweet23884,"Dr mis tetas estan muy duras, tóque.
El toca y ella le pregunta:-Es grave?
-No pero es contagioso Mire como se me puso de duro el pipi Toque",professions
tweet7589,"la nueva novia le estaba acariciando los testiculos al novio, al rato le dice: extraño tanto los mios..... #sorpresita #chistes",lgbt
tweet14031,"Hoy en la esquina de casa chocaron dos motos, salieron lastimadas dos personas y un negro",ethnicity/origin
tweet23835,"—Ya me voy, mamá...
—Ándale hijita con cuidado, deja te doy la bendición.
—Pero mamá, dijiste que me la cuidarías.
—¡Ni madres, llévatelo!",age
tweet11505,Quien no se secó el pelo y ahora parece caniche? 🙆🙆,body shaming; self-deprecating
tweet12327,"El gol de México vs Uruguay, no fue tan rápido si lo comparamos con tu partida después de ilusionarme😔😔",family/relationships
tweet23193,Alguien sabe que tengo que RT para no soñar más con mi suegra?,family/relationships
tweet19118,De pequeño Dios me dio a elegir entre tener una memoria increíble o un pito gigante y no me acuerdo lo que elegí... #fb,body shaming
tweet13800,"Niño a su mamá: -Mami, vendí mi Blackberry para comprar marihuana -Que bueno que dejaste ese vicio, hijo! by @rafaerarmando #fb",technology
tweet11613,"—Mamá, ¿Cómo nacen los bebés?
—Pues mira hijo, llega un ave hermosa llamada cigüeña y los trae en el pico...
—¿Y quién se coge a la cigüeña?",age
tweet12783,"- ¡¡Soldado, FIIIRME!
- ¿Dónde firmo, mi capitán? #chistes",professions
tweet11177,"Oh, miren una persona inalcanzable y que ni siquiera nota mi presencia. 

*Se enamora*",self-deprecating
tweet14507,¿Cual es el matrimonio ideal? Una mujer ciega con un marido sordo y con hijos mudos... #chistes #fb,women
tweet5588,En Titanic 2 Miley Cyrus acaba con el iceberg a lamidas.,professions
tweet21359,"—Mi nieto es víctima del bullying.

—¿Cuál es su nieto?

—El puto hipopótamo que esta allá.",body shaming
tweet10951,Harry Potter y el misterio de por qué los subnormales de Facebook eZzKhriBehN AZzhyy.,technology
tweet5770,"No hay nada más peligroso que una machorra enojada, tienen el humor de una mujer y la fuerza de un hombre.",women
tweet21192,"Oye no mames, vístete, yo vine a ver la película, no a coger. 

—Todos los hombres.",men
tweet22127,BANQUERO: Es un tipo que te presta su paraguas cuando hay un sol radiante y te lo reclama cuando empieza a llover  #chistes,professions
tweet20567,"Ya quiero que mi tía me pregunte en Navidad por el novio, para preguntarle sobre la amante de su esposo.",family/relationships
tweet18842,Di vuelta el televisor para verlo a Neymar de pie.,professions
tweet18042,#NoMeEnamoroPorque aun no conozco a alguien que valga la pena. Na mentira soy feo y nadie me quiere.,body shaming
tweet21223,"“Ahí hay cereal”

—Mi mamá diciéndome sutilmente que no me va a hacer ni madres de cenar.",family/relationships
tweet6998,"Odio cuando alguien me pide que recuerde algo. Oye mira, tengo memoria de Dory, no recuerdo ni qué desayuné hoy. No puedo ayudarte.",self-deprecating
tweet2770,"¿Celoso yo? #JAJAJA ay mi amor, dime ¿quién te metió esas ideas en la cabeza? ¡¿QUIÉN?! ¡¿QUIÉN?! ¿TU AMANTE VERDAD?!",family/relationships
tweet15315,"-Amor mi celular tiene una aplicacion q te hace ver fea y gorda.
-enserio amor? como se llama? 
-Camara JAJAJA -Amor no me golpees era broma",body shaming
tweet12894,"- Papá... ¿qué es el amor?
- Es la luz de la vida, hijo mío.
-¿Y el matrimonio?
- Es la factura que llega después...",women
tweet19164,"_ Señora directora, mi hijo es víctima de bullying!!
- Cuál es su hijo?
_ El gordo pajero ese que está ahí",body shaming
tweet20693,"- Sabes que se a muerto Juan el mecanico?? 
- Si?? Y que tenia?? 
- Pues que iba a tener!!! Un taller!!!",professions
tweet17990,"-Oye, te pareces a uno de los personajes de Rusia -Por alto y güero? -No! Por Putín! #fb",lgbt
tweet14979,"-Mamá, ¿qué haces en frente al P.C. con los ojos cerrados?
-Hijo, es que Google me dice que cierre las pestañas.....",age
tweet11239,ADVERTENCIA: El consumo de alcohol puede hacerle pensar que es experto en Kung Fu. #fb,substance use
tweet19597,¿Por qué asumen que es «feto ingeniero» y no «feta ingeniera»? Maldito sistema heteropatriarcal falocéntrico opresor.,women
tweet5700,Está igualado este año el Globo de Oro a 'Mejor Corto' entre los minutos jugados de Isco y Mata.,professions
tweet21455,"-Cariño!!, hoy cumplimos 20 años de casado ¿por qué no matamos un pavo?
-¿Y que culpa tiene el pavo si tu hermano fue el que nos presento?",family/relationships
tweet22675,"-¿Qué prefieres amor, dormir o yo? 
-Cuando te vayas, apagas la luz por fa.",family/relationships
tweet761,Ayer fui a un lugar de solas y solos y en la puerta me miraron y me dijeron no estamos tan solos  #CHISTES,self-deprecating
tweet10816,"—¿Y tu novia? 
—Se está arreglando. 
—¿En miércoles? 
—Sí, es que vamos a salir este fin de semana.",women
tweet11987,"-Mamá, papá, soy gay.
-Ya sabíamos.
-¿Cómo?
-Decís ""ah, ¿qué le pasaba?"" Cada vez que decimos algo.
-Ah, ¿qué le pasaba?",lgbt
tweet12326,"-Mi amor, ese vestido te hace ver gorda -Mi amor, estoy desnuda...",women
tweet13333,Ni loco permanezco en una relación sin amor. Para divertirme tengo Twitter.,technology
tweet21561,Dicen que reencarnamos en versiones mejoradas de nosotros mismos. Yo digo que es increíble que en otra vida haya estado todavía más pendejo.,self-deprecating
tweet4619,¿Felicidad? Felicidad es ver una señal wifi sin candadito.,self-deprecating
tweet13686,"4 razones por las que no ayudo a los ancianos a cruzar la calle:

1. No
2. Son
3. Mis
4. Abuelos.",age
tweet12169,"El truco está en reírse de todo lo que te dice el taxista, para que no te viole.",sexual aggressors
tweet23251,"A un borracho le pegan con un huevo en la cara y grita: ¡No joda, ahora tírenme a su Madree! Y le tiraron la Gallina...",substance use
tweet9470,"Nunca digas "" NO TENGO NADA QUE HACER"" Cerca de tu MAMA porque seguro te ponen a barrer, a trapear, a limpiar tu cuarto ETC #xD",family/relationships
tweet713,"—Hijo, ¿ya sabes que vas a estudiar?
—No, aún no decido.
—¿Qué te gusta? 
—Dormir.",age; self-deprecating
tweet16320,"-¿tiene tarjetas que digan ""Para el único Hombre de mi vida""? -Si tenemos -¡Me vende 6 por favor! #fb",family/relationships
tweet16056,"—¿Y de qué trabajas?
—Soy metalero.
—¿Tienes una banda?
—No, compro parrillas, tambores, estufas, refrigeradores y fierro viejo que vendan.",professions
tweet15818,"Cuando el profesor te saca de clases, significa que ganaste la discusión.",professions
tweet15868,"Más cansado que el que le limpia los trofeos a Messi,",professions
tweet19841,"- Rubita ¿viste El Señor de los Anillos?
- Sííí, pero no le compré nada...
#Chistes #Humor #Anecdotas #Rubias #To...",women
tweet18991,"—Bebé ¿Me veo gorda con este vestido?
—¡No mi amor, te vez gorda con todos!",body shaming; women
tweet22953,Qué triste debe ser Alejandro Sanz porque no sabe quién lo tapará esta noche si hace frío.,professions
tweet11842,"—¡Soy un arbolito de Navidad!
—¡Mamá!, el maricón de mi papá se volvió a pintar los huevos con tus cosméticos. #appCINEco",lgbt
tweet21245,"A Donald Trump no le afecta que Hillary haya ganado en Kentucky a el ni le gusta el pollo frito.

-Andrea Legarreta.",professions
tweet7042,"-Amor estoy gorda? -mm a ver rueda para acá, mm rueda para allá... No amor esta bien #xD",body shaming; women
tweet18721,"—¿Por qué lloras?

—Me detectaron diabetes.

—Relájate, cómete un Snickers.",health
tweet9138,"— Dime la verdad ¿tienes otra?
—No.
— ¿enserio que no?
—Que no gorda HP ya no hay mas empanadas. ya se comió 10, no joda!
#JAJAJJA",body shaming
tweet13009,"—¡Mamá, mamá, me dijeron Rihanna! —¿Dónde? —En la escuela ela ela eh eh eh.",professions
tweet12962,Hago chistes SOBRE Adele porque debajo de Adele sería una tortura,professions
tweet16917,¿Qué somos? — ¡Doctores! - ¿Y qué le recetaremos a los pacientes? — لكي يجري التصويت #xD,professions
tweet4646,"Matar al profesor de matemáticas y decir: ""Problema resuelto"".",professions
tweet863,"— Bésame, es para una tarea. — Estamos en vacaciones.",age
tweet14843,"WHATSAPP DE TODOS
―1096 Mensajes
―7 llamadas

MI WHATSAPP
Mamá: Mijo, no olvides sacar la basura.",self-deprecating
tweet15213,"—Me traes una cerveza, indio.
—Claro que sí.
—Que sea Heineken, por favor.",ethnicity/origin
tweet21632,"“Etajifoxnhwllskjwjpkrisjnahifknsgkfknagukronshkekpflnanahckanhdikdknsjkdkmrolmsjlldjajhenvsyiehqnsjkdjwn... BRYANT MYERSSS”

—Bryant Myers.",professions
tweet13323,"Era tan cheto que en vez de basuritas, se le metían  piezas de sushi en el ojo
#chistes",social status
tweet13140,"—Oye, ¿sabes cuándo se va a acabar el mundo?
—El próximo viernes!

—Jajaja, pinche Espinoza Paz, eres un desmadre.",professions
tweet300,"– Yo haría cualquier cosa por ti, mi amor.
– Desátame y déjame ir.
– Ah no, eso no.",sexual aggressors
tweet22382,"Amor es decirle a tu novia que se estacionó bien, aunque tengas que dar dos pasos grandes para llegar a la banqueta.",women
tweet14144,"Se encuentran dos abogados y uno le dice al otro:
- ¿Vamos a tomar algo?
- Bueno, ¿De quién?
#Chistes #Humor #Ane...",professions
tweet20964,"1 mes: “Te ves bien bonita enojada.”

2 años: “Ya te vas a enojar, te enojas por todo.”",women
tweet18127,"-¿Te enteraste quién se hizo marica?
-No, che, ¿quién es?
-Si me das un besito te lo digo...
#Chistes #Humor #Ane...",lgbt
tweet21212,-¡Yo soy todo un varón en mi casa! -¿Y por que? -Porque cuando mi mujer me  no lloro.,family/relationships
tweet13224,Muchas chicas se preocupan más por su apariencia que por su mente. Porque saben que los chicos son estúpidos... no ciegos ;),men
tweet10585,"Enamórate de la persona que tenga las mismas perversiones sexuales que tu, viejas locas hay un chingo.",women
tweet22422,"Pienso, luego existo - No pienso, luego tuiteo by @hadacon #fb",technology
tweet6860,"-Ay hijo, ¿por qué no te vuelves cristiano?  -No jefa, ni Cristiano, ni Messi, yo quiero volverme Chicharito! by @FulanitoShow #fb",professions; religion
tweet8982,"—Di algo bonito. —Tú. —Aún más bonito. —Tu hermana, JAJAJAJAJAJANo es cierto mi amorSUELTA ESA PIST...",women
tweet4263,¿Por qué Kim Kardashian es TT? ¿La NASA volvió a confundir su trasero con un nuevo planeta?,professions
tweet3804,"Quisiera tener tus ojos, tu boca y tu cuerpo... Es que se acerca carnaval y no tengo disfraz! #fb",body shaming
tweet11050,#SoyTanPeroTan  diabetico que las hemorroides son garrapiñadas..#chistes #humor,health
tweet5469,"SI de entrada me dice de qué signo es, ya le digo cual es mi Pokemon preferido, para que crea que ambos somos retardados y se sienta cómoda.",women
tweet22452,Ojalá mi billetera estuviera igual de gorda que yo.,self-deprecating
tweet9829,"Lo bueno de estar soltero es que puedes salir con quien quieras, hoy por ejemplo acompañé a mi abuelita al mercado.",self-deprecating
tweet13548,¿Cuál es su talento? Dormir.,self-deprecating
tweet15576,"Amor, creo que no le caigo bien a tu mamá, me dijo que soy medio tonto! -No te preocupes, es que te conoce a medias! #fb",family/relationships
tweet16616,"Me informan que los Chinos tienen record Olímpico en ""Rostro Sincronizado"". 

Están todos igualitos los mendigos.",ethnicity/origin
tweet23147,De “Fit” a “Fat” solo hay una letra de diferencia y es la A de Amo la comida.,self-deprecating
tweet17088,Amiga Te tenia un chiste tan bueno que se te iba a caer eL cuLo de La risa......Pero te vi por detras y parece que ya te Lo contaron #jajaja,body shaming
